"STYLE PICTURE","STYLE NO.","NAME","COLOR","DESCRIPTION","OUTSOLE","PRICE","US 8","US 9","US 10","US 11","US 12","US 13","US 14","HIDE"
"https://www.dropbox.com/sh/wm9dqr8lmrp9hri/AADxlPdZkIH2_s2iKjiCD0ewa?dl=0","AHI1740001","Omega Low","GOLD","_Upper is made of Nubuck and Gold luxury crackled leather.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe","Margom","$267.50",,,,,,,,"X"
"https://www.dropbox.com/sh/rtc2mjd6nd7v3er/AACeg0FwUi2pyJhbKF4wtHfMa?dl=0","AHI1740003","Omega Low","SILVER","_Upper is made of Nubuck and Silver luxury crackled leather.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$267.50",,,,,,,,"X"
"https://www.dropbox.com/sh/8k4q8ykhkrk7b9d/AABvtdZH7HU4Jc0q-jfkY-dua?dl=0","AHI1740005","Propulsion Mid","SILVER","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$312.50",,,,,,,,"X"
"https://www.dropbox.com/sh/wtua2mc31ccjg0n/AAC4SeJWsH8ve7Cw0GO6ycGFa?dl=0","AHI1740006","Omega Low","SILVER","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$290.00",,,,,,,,"X"
"https://www.dropbox.com/sh/dtu3k4qlbwq78nc/AAAX5nNkDmGdzutLKEcka_Gta?dl=0","AHI1740007","Runyon Runner","SILVER","_Upper is made of luxury leather with custom perforated panels and 3M Reflective.
_ Laser engraved midsole
_Round waxed laces
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_100% lightweight EVA Italian outsole.
_Handmade In Italy","EVA","$405.00",,,,,,,,"X"
"https://www.dropbox.com/sh/hfw3ctqosnby5ll/AABS_PB39O4jKm3HDl90GYO9a?dl=0","AHI1740008","Propulsion Mid","BLACK","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$312.50",,,,,,,,"X"
"https://www.dropbox.com/sh/9uxp2a47wdla07b/AABUCMI8wqaQhtP1jWxbx9Dpa?dl=0","AHI1740009","Omega Low","BLACK","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$290.00",,,,,,,,"X"
"https://www.dropbox.com/sh/uqx2eqt97j3z5ss/AAA7W48wADaVlMLOvTHr4miUa?dl=0","AHI1740010","Runyon Runner","BLACK","_Upper is made of luxury leather with custom perforated panels and 3M Reflective.
_ Laser engraved midsole
_Round waxed laces
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_100% lightweight EVA Italian outsole.
_Handmade In Italy","Margom","$325.00",,,,,,,,"X"
"https://www.dropbox.com/sh/dv75c3knbz6mstc/AABEZQQrbfrcNQZdo_ySjg9aa?dl=0","AHI1740011","Propulsion Mid","WHITE","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$312.50",,,,,,,,"X"
"https://www.dropbox.com/sh/8stzq7ntewy1fwa/AADMKGzywiqsAITeE0OiPezWa?dl=0","AHI1740012","Omega Low","WHITE","_Upper is made of custom perforated panels, and 3M reflective.
_ New custom Android Homme embossed Italian midsole.
_Gold leather insole foot bed for maximum comfort
_Custom branded dust bag
_Handmade In Europe.","Margom","$290.00",,,,,,,,"X"
"https://www.dropbox.com/sh/17ips5u6gww3qb4/AAA6cp0JEv9kErgP__3QyI99a?dl=0","AHI1740013","Runyon Runner","WHITE","_Upper is made of luxury leather with custom perforated panels and 3M Reflective.
_ Laser engraved midsole
_Round waxed laces
_Gold insole foot bed for maximum comfort
_Custom branded dust bag
_100% lightweight EVA Italian outsole.
_Handmade In Italy","EVA","$325.00",,,,,,,,"X"
"https://www.dropbox.com/sh/0xtjz6goes3l82n/AADGIqya7DeykP03wyjdLS8za?dl=0","AHI1740016","Runyon Runner","SAND","_Upper is made of Nubuck, Patent leather and Luxury mesh. 
_ Laser engraved midsole
_Round waxed laces
_Gold leather insole foot bed for maximum comfort
_Custom branded dust bag 
_100% lightweight EVA Italian outsole. 
_Handmade In Italy","EVA","$312.50",,,,,,,,"X"
"https://www.dropbox.com/sh/ubvm8uusbgq8ny7/AACS_wPy2UebV2-XpX6nQki1a?dl=0","AHI1740020","SLIDE","WHITE","_Rubber Slides with 3M reflective embossed logo on contoured footbed. 
_ Custom Marble gloss print.
_Handmade In Italy","EVA","$112.50",,,,,,,,"X"
"https://www.dropbox.com/sh/b0ug18a0koyb1d4/AACxm8Xp8Khe26_TBRmRo9Bka?dl=0","AHI1740021","SLIDE","BLACK","_Rubber Slides with 3M reflective embossed logo on contoured footbed. 
_ Custom Marble gloss print.
_Handmade In Italy","EVA","$112.50",,,,,,,,"X"
"https://www.dropbox.com/sh/v4txh3gwtf94lkx/AAD1ENfe0GSOt6kKogITFBhEa?dl=0","AHI1710056
","ALFA MID","GRAY","• Upper is made of smooth nubuck with python embossed nubuck heel panel
• Rubber Margom outsole with bottom tread
• Flat waxed laces
• Gold branded eyelets & signature tassels
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$350.00",,,,,,,,
"https://www.dropbox.com/sh/1vknel41wbpz9ri/AAAptcqm8kQwQw2vlkrEPFVGa?dl=0","AHI1710055
","ALFA LOW","GRAY","• Upper is made of smooth nubuck with python embossed nubuck heel panel
• Rubber Margom outsole
• Flat waxed laces
• Gold branded eyelets & signature tassels
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$340.00",,,,,,,,
"https://www.dropbox.com/sh/cxjh2r4k9ylofl5/AADGsj51ucsDSS3CaW3ERlTJa?dl=0","AHI1710054
","TACTICAL BOOT","NAVY NEOPRENE","• Upper is made of croc embossed leather, nubuck, suede, and neoprene side panel

• Rubber Margom outsole with a custom hand made bottom attached for extra ruggedness 

• Aggressive and durable rubber tread 

• Round waxed laces

• Military boot eyelets

• Gusseted Tongue

• Longer lifespan","DRAKE","$450.00",,,,,,,,
"https://www.dropbox.com/sh/3kavley93up9uxw/AADN0oen4xmsPD8kSzyl5MBXa?dl=0","AHI1710053
","TACTICAL BOOT","BLACK NEOPRENE","• Upper is made of Italian Suede with canvas side panels for improved ventilation 

• Rubber Margom outsole with a custom hand made bottom attached for extra ruggedness 

• Aggressive and durable rubber tread 

• Round waxed laces

• Military boot eyelets

• Gusseted Tongue

• Longer lifespan","DRAKE","$450.00",,,,,,,,
"https://www.dropbox.com/sh/wp09mgu8hvbk4yo/AACT17jJpDafruwlBINCgOOLa?dl=0","
AHI1710052","TACTICAL BOOT","TAN NEOPRENE","• Upper is made of Italian Suede, stingray embossed leather, and nubuck with neoprene side panels 

• Rubber Margom outsole with a custom hand made bottom attached for extra ruggedness 

• Aggressive and durable rubber tread 

• Round waxed laces

• Military boot eyelets

• Gusseted Tongue","DRAKE","$450.00",,,,,,,,
"https://www.dropbox.com/sh/2yd50tvnd9gszau/AADhhf7DszY1qAwdEoM7x5Mra?dl=0","
AHI1710044","ALFA LOW","LINEN","• Upper is made of smooth nubuck with python embossed nubuck heel panel
• Rubber Margom outsole
• Flat waxed laces
• Gold branded eyelets & signature tassels
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$450.00",,,,,,,,
"https://www.dropbox.com/sh/zdrtrbx9xv7u3x5/AAAdWjUpgrKo8thUIlFRDNmCa?dl=0","
AHI1710043","ALFA MID","LINEN","• Upper is made of smooth nubuck with python embossed nubuck heel panel
• Rubber Margom outsole with bottom tread
• Flat waxed laces
• Gold branded eyelets & signature tassels
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$350.00",,,,,,,,
"https://www.dropbox.com/sh/g2lndt2ojr5xinq/AADlnQaxlNf23n5DwKOR32Ega?dl=0","
AHI1710042","RUNYON RUNNER MID","BLACK","• Upper is made of flocked velvet, neoprene and nubuck
• Laser engraved EVA outsole
• Round waxed laces
• Gunmetal hardware details
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$377.50",,,,,,,,
"https://www.dropbox.com/sh/mcw3713wgo91b1l/AADB-81EP8gsTx7BYD0FrRLEa?dl=0","
AHI1710041","RUNYON RUNNER BOOT","BLACK","• Upper is made of flocked velvet, neoprene and nubuck
• Laser engraved EVA outsole
• Gunmetal zipper
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$330.00",,,,,,,,
"https://www.dropbox.com/sh/no5sm6vi34dsm5a/AACbsIHqgIHGQchRVu-VDDWja?dl=0","
AHI1710040","RUNYON RUNNER","GRAY","• Upper is made of neoprene, suede and a synthetic caviar material
• Fully blown EVA sole with laser engraving
• Waxed laces
• Gold eyelet hardware
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$312.50",,,,,,,,
"https://www.dropbox.com/sh/2osacwv7jn86cqr/AAATZ_-l8GaBQhmc0q1vgVrPa?dl=0","
AHI1710036","RUNYON RUNNER","BLACK","• Upper is made of flocked velvet, neoprene, full grain leather and nubuck
• Laser engraved EVA outsole
• Round waxed laces
• Gunmetal hardware details
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$320.00",,,,,,,,
"https://www.dropbox.com/sh/57drwo0fw05735w/AAB2dKEjfRWnBhLPa1OqqRLwa?dl=0","
AHI1710010","RUNYON RUNNER","GRAY","• Upper is made of stingray leather with pebbled leather, suede and neoprene
• Laser engraved EVA outsole
• Round waxed laces
• Gunmetal hardware details
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$320.00",,,,,,,,
"https://www.dropbox.com/sh/raidqi25z200h57/AADBGIN-JstcB2Msq3it48vKa?dl=0","
AHI1710009","Propulsion Mid","GRAY","• Upper is made of stingray leather with pebbled leather and suede
• Laser engraved Margom outsole
• Flat waxed laces
• Gold hardware details
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$380.00",,,,,,,,
"https://www.dropbox.com/sh/fv5jm2vx6shu3v4/AAAdcOM9aXpSRis9LL329Xb8a?dl=0","
AHI1710007","RUNYON RUNNER MID","TAN/OLIVE","• Upper is made of stingray embossed leather with pebbled leather and neoprene
• Laser engraved EVA outsole
• Round waxed laces
• Gold metal hardware details
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$377.50",,,,,,,,
"https://www.dropbox.com/sh/c6gtzvshkmho3au/AACLeHIM0tEOBaz9G2fODQRka?dl=0","
AHI1710004","Propulsion Mid","LT. NAVY","• Upper is made of a smooth velvet fabric and Italian nubuck leather
• Shiny Rubber Margom outsole with laser engraved midsole
• Flat waxed laces
• Gold branded eyelets
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$355.00",,,,,,,,
"https://www.dropbox.com/sh/cttv36jxqbk79qq/AABvKL86np_1Z19eHlJHU5Uoa?dl=0","
AHI1710003","Omega Low","LT. NAVY","• Upper is made of a smooth velvet fabric and Italian nubuck leather
• Shiny Rubber Margom outsole with laser engraved midsole
• Flat waxed laces
• Gold branded eyelets
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$350.00",,,,,,,,
"https://www.dropbox.com/sh/52e3e639wa5ca62/AAAvYs6ui3qJxlZOolnjbnlNa?dl=0","
AHI1710002","Propulsion Mid","OLIVE","• Upper is made of a smooth velvet fabric and Italian nubuck leather
• Shiny Rubber Margom outsole with laser engraved midsole
• Flat waxed laces
• Gold branded eyelets
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$375.00",,,,,,,,
"https://www.dropbox.com/sh/140purf4q9zsvad/AAA4S6E3jDpbWL5s7RXfdozSa?dl=0","
AHI1710001","Omega Low","OLIVE","• Upper is made of a smooth velvet fabric and Italian nubuck leather
• Shiny Rubber Margom outsole with laser engraved midsole
• Flat waxed laces
• Gold branded eyelets
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$370.00",,,,,,,,
"https://www.dropbox.com/sh/3veu5arto1b6hb7/AAAB2nZ5JdPV2JHHPAOCOX7La?dl=0","
AHI1710037","Omega Low","GRAY","• Upper is made of pebbled leather, suede and a synthetic caviar material
• Margom rubber matte kobe outsole with laser engraving
• Waxed laces
• Gold eyelet hardware
• AUTHENTICALLY HANDMADE IN ITALY","Margom","$340.00",,,,,,,,
"https://www.dropbox.com/sh/dy6ods1zv5phbmg/AABWZQpPFa1nBjHhhejrJGOya?dl=0","
AHI1710057","RUNYON RUNNER","BLACK","• Upper is made of neoprene, leather and a synthetic caviar material
• Fully blown EVA sole with laser engraving
• Waxed laces
• Gold eyelet hardware
• AUTHENTICALLY HANDMADE IN ITALY","EVA","$320.00",,,,,,,,
"https://www.dropbox.com/sh/e5lqvwzlo3736dj/AACfeD9YgY7ZOJbxwpf_bn6oa?dl=0","
AHI1710049","TACTICAL BOOT","GRAY NUBUCK","• Upper is made of Italian Suede with canvas side panels for improved ventilation 

• Rubber Margom outsole with a custom hand made bottom attached for extra ruggedness 

• Aggressive and durable rubber tread 

• Round waxed laces

• Military boot eyelets

• Gusseted Tongue

• Longer lifespan","DRAKE","$450.00",,,,,,,,
