wanderset_category,google_category_id
accessories,166
accessories > backpacks / bags > backpacks,100
accessories > backpacks / bags > briefcase,101
accessories > backpacks / bags > duffle,103
accessories > backpacks / bags > messengers,106
accessories > backpacks / bags > totes,5608
accessories > backpacks / bags > weekend / travel,5181
accessories > eyewear,167
accessories > eyewear > glasses,167
accessories > eyewear > sunglasses,178
accessories > gloves / scarves > gloves,170
accessories > gloves / scarves > scarves,177
accessories > hats,173
accessories > hats > 5 panel,173
accessories > hats > beanies,2020
accessories > hats > bucket hat,173
accessories > hats > caps,173
accessories > hats > fedoras,173
accessories > jewelry > bracelets,191
accessories > jewelry > necklaces,196
accessories > jewelry > other,188
accessories > jewelry > pins,197
accessories > jewelry > rings,200
accessories > jewelry > watches,201
accessories > other,166
accessories > wallets / key chains > key chains,175
accessories > wallets / key chains > wallets,2668
clothing,1604
clothing > coats / jackets > bombers,5598
clothing > coats / jackets > coaches jackets,5598
clothing > coats / jackets > denim,5598
clothing > coats / jackets > leather,5598
clothing > coats / jackets > light jackets,5598
clothing > coats / jackets > overcoats,5598
clothing > coats / jackets > parkas / anoraks,5598
clothing > coats / jackets > raincoats / trench coats,5598
clothing > coats / jackets > suit jackets,1594
clothing > coats / jackets > varsity jackets,5598
clothing > coats / jackets > vests,1831
clothing > coats / jackets > windbreakers,5598
clothing > coats / jackets > winter coats,5598
clothing > jeans > distressed,204
clothing > jeans > selvedge,204
clothing > jeans > slim / skinny,204
clothing > jeans > straight,204
clothing > pants > athletic,204
clothing > pants > cargo pants,204
clothing > pants > casual,204
clothing > pants > chinos,204
clothing > pants > joggers,204
clothing > pants > slim/skinny,204
clothing > pants > snowpants,204
clothing > pants > sweatpants,204
clothing > shirts > button ups,212
clothing > shirts > flannels,212
clothing > shirts > jerseys,212
clothing > shirts > polos,212
clothing > shirts > raglans,212
clothing > shorts / swim > shorts,207
clothing > shorts / swim > swim trunks,211
clothing > socks / underwear > socks,209
clothing > socks / underwear > underwear,2562
clothing > sweaters > button ups,212
clothing > sweaters > cardigans,212
clothing > sweaters > crew necks,212
clothing > sweaters > pullovers,212
clothing > sweaters > v-necks,212
clothing > sweaters > zip ups,212
clothing > sweatshirts > pullover hoodies,212
clothing > sweatshirts > zip ups,212
clothing > t-shirts / tanks,212
clothing > t-shirts / tanks > athletic,212
clothing > t-shirts / tanks > basic,212
clothing > t-shirts / tanks > basics,212
clothing > t-shirts / tanks > buttondowns,212
clothing > t-shirts / tanks > crew necks,212
clothing > t-shirts / tanks > graphics,212
clothing > t-shirts / tanks > long sleeves,212
clothing > t-shirts / tanks > longsleeves,212
clothing > t-shirts / tanks > printed,212
clothing > t-shirts / tanks > tanks,212
footwear > boots > chelsea,187
footwear > boots > chukka,187
footwear > boots > hiking,187
footwear > boots > lace-up,187
footwear > boots > military,187
footwear > shoe care,1933
footwear > shoes > casual,187
footwear > shoes > sandals,187
footwear > shoes > slip-on,187
footwear > sneakers > athletic,187
footwear > sneakers > casual,187
footwear > sneakers > hi tops,187
footwear > sneakers > low tops,187
footwear > sneakers > mid tops,187
footwear > sneakers > slip-on,187
home goods > bathroom,574
home goods > bathroom > shower curtains,580
home goods > bathroom > towels,576
home goods > bedroom > blankets,1985
home goods > bedroom > comforter sets,505287
home goods > bedroom > duvet sets,2541
home goods > bedroom > pillows,2700
home goods > bedroom > rugs,598